Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
led[2]_reg_p_D_MUX2X1P4H7L_Y,1.2,2.357e-06,0.000e+00,2.454e-09,2.359e-06
count_26__NOR4X0P5H7L_A_Y_NAND3X0P5H7L_A_Y_NOR3X3H7L_A_C_NAND3X0P5H7L_Y_C_NOR4X0P5H7L_Y,1.2,2.325e-06,0.000e+00,3.803e-10,2.325e-06
count_6__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_Y_B_NAND3X0P5H7L_Y,1.2,2.276e-06,0.000e+00,3.126e-10,2.276e-06
count_26__NOR4X0P5H7L_A_Y_AND4X0P5H7L_B_Y_AOAI211X0P5H7L_C0_Y_BUFX3H7L_A,1.2,2.199e-06,0.000e+00,2.229e-09,2.201e-06
led[7]_reg_p_D_MUX2X0P5H7L_Y,1.2,2.096e-06,0.000e+00,2.309e-09,2.099e-06
led[13]_reg_p_D_MUX2X0P5H7L_Y,1.2,2.096e-06,0.000e+00,2.309e-09,2.099e-06
led[5]_reg_p_D_MUX2X0P5H7L_Y,1.2,2.096e-06,0.000e+00,2.309e-09,2.099e-06
led[6]_reg_p_D_MUX2X0P5H7L_Y,1.2,2.096e-06,0.000e+00,2.309e-09,2.099e-06
led[4]_reg_p_D_MUX2X0P5H7L_Y,1.2,2.096e-06,0.000e+00,2.309e-09,2.099e-06
led[12]_reg_p_D_MUX2X0P5H7L_Y,1.2,2.096e-06,0.000e+00,2.309e-09,2.099e-06
led[9]_reg_p_D_MUX2X0P5H7L_Y,1.2,2.096e-06,0.000e+00,2.309e-09,2.099e-06
led[11]_reg_p_D_MUX2X0P5H7L_Y,1.2,2.096e-06,0.000e+00,2.309e-09,2.099e-06
led[8]_reg_p_D_MUX2X0P5H7L_Y,1.2,2.096e-06,0.000e+00,2.309e-09,2.099e-06
led[10]_reg_p_D_MUX2X0P5H7L_Y,1.2,2.096e-06,0.000e+00,2.309e-09,2.099e-06
led[3]_reg_p_D_MUX2X0P5H7L_Y,1.2,2.096e-06,0.000e+00,2.309e-09,2.099e-06
led[14]_reg_p_D_MUX2X0P5H7L_Y,1.2,2.096e-06,0.000e+00,2.309e-09,2.099e-06
count_13__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y_B_NOR4X0P5H7L_Y_D_NOR4X1P4H7L_C,1.2,2.072e-06,0.000e+00,3.269e-10,2.072e-06
count_26__NOR4X0P5H7L_A_Y_AND4X0P5H7L_B_Y_AOAI211X0P5H7L_C0_B0_AOAI211X0P5H7L_Y,1.2,1.906e-06,0.000e+00,6.914e-10,1.907e-06
count_8__reg_p_D_AOI21X0P5H7L_Y_A0_OAI21X0P5H7L_Y,1.2,1.867e-06,0.000e+00,7.087e-10,1.868e-06
count_26__NOR4X0P5H7L_A_Y_NAND3X0P5H7L_A_Y_NOR3X3H7L_A_C_NAND3X0P5H7L_Y_A_NOR3X0P5H7L_Y,1.2,1.807e-06,0.000e+00,6.828e-10,1.808e-06
count_13__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y_B_NOR4X0P5H7L_Y_D_NOR4X1P4H7L_C_D_NAND3X0P5H7L_Y,1.2,1.585e-06,0.000e+00,3.878e-10,1.586e-06
count_26__NOR4X0P5H7L_A_Y_NAND3X0P5H7L_A_Y_NOR3X3H7L_A_B_NAND4BX1P4H7L_Y_B_NOR3X0P5H7L_Y,1.2,1.578e-06,0.000e+00,5.729e-10,1.579e-06
count_26__NOR4X0P5H7L_A_Y_AND4X0P5H7L_B_Y_AOAI211X0P5H7L_C0_A1_OAI2BB1X0P5H7L_Y,1.2,1.481e-06,0.000e+00,1.099e-09,1.483e-06
count_26__NOR4X0P5H7L_A_Y_AND4X0P5H7L_B_Y_AOAI211X0P5H7L_C0_A1_OAI2BB1X0P5H7L_Y_A1N_OAI211X0P7H7L_Y,1.2,1.470e-06,0.000e+00,5.716e-10,1.471e-06
count_7__reg_p_D_NOR2X0P5H7L_Y,1.2,1.358e-06,0.000e+00,5.905e-10,1.359e-06
count_3__reg_p_D_NOR2X0P5H7L_Y,1.2,1.324e-06,0.000e+00,5.905e-10,1.325e-06
count_13__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y_B_NOR4X0P5H7L_Y,1.2,1.273e-06,0.000e+00,2.555e-10,1.274e-06
count_18__reg_p_D_AOI2XB1X1H7L_Y_A1N_NOR3X1P4H7L_Y_B_NAND2X0P5H7L_Y,1.2,1.170e-06,0.000e+00,4.964e-10,1.171e-06
count_12__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y_B_NOR4X0P5H7L_Y_D_NAND2X0P5H7L_Y,1.2,1.163e-06,0.000e+00,5.160e-10,1.164e-06
count_12__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y_B_NOR4X0P5H7L_Y,1.2,1.157e-06,0.000e+00,2.604e-10,1.157e-06
count_2__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_Y_B_NAND2X0P5H7L_Y,1.2,1.108e-06,0.000e+00,4.813e-10,1.109e-06
count_6__reg_p_D_NOR2X0P5H7L_Y,1.2,1.093e-06,0.000e+00,5.887e-10,1.094e-06
count_2__reg_p_D_NOR2X0P5H7L_Y,1.2,1.059e-06,0.000e+00,5.886e-10,1.059e-06
count_9__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y_B_NOR3BX0P5H7L_Y,1.2,1.043e-06,0.000e+00,1.247e-09,1.044e-06
count_11__reg_p_D_AOI21X0P5H7L_Y_A0_OAI2BB1X0P5H7L_Y,1.2,1.011e-06,0.000e+00,1.059e-09,1.012e-06
count_14__reg_p_D_NOR2X1P4H7L_Y,1.2,9.402e-07,0.000e+00,7.056e-10,9.409e-07
count_15__reg_p_D_AOI21X0P5H7L_Y_A0_OAI2BB1X0P5H7L_Y,1.2,9.297e-07,0.000e+00,1.048e-09,9.308e-07
count_4__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y,1.2,8.501e-07,0.000e+00,3.262e-09,8.534e-07
count_5__reg_p_D_NOR2X0P5H7L_Y,1.2,8.105e-07,0.000e+00,5.791e-10,8.111e-07
count_24__reg_p,1.2,7.930e-07,0.000e+00,6.544e-09,7.995e-07
count_30__reg_p,1.2,7.929e-07,0.000e+00,6.544e-09,7.995e-07
count_27__reg_p,1.2,7.929e-07,0.000e+00,6.544e-09,7.995e-07
count_26__reg_p,1.2,7.929e-07,0.000e+00,6.544e-09,7.995e-07
count_31__reg_p,1.2,7.929e-07,0.000e+00,6.544e-09,7.995e-07
count_28__reg_p,1.2,7.929e-07,0.000e+00,6.544e-09,7.994e-07
count_25__reg_p,1.2,7.928e-07,0.000e+00,6.544e-09,7.994e-07
count_29__reg_p,1.2,7.928e-07,0.000e+00,6.544e-09,7.994e-07
count_1__reg_p_D_NOR2X0P5H7L_Y,1.2,7.751e-07,0.000e+00,5.787e-10,7.757e-07
count_10__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y_B_NOR3X0P5H7L_Y,1.2,7.565e-07,0.000e+00,3.897e-10,7.568e-07
led[1]_reg_p_D_MUX2X1P4H7L_Y_B_NOR2BX1H7L_Z,1.2,7.498e-07,0.000e+00,1.346e-09,7.511e-07
count_10__reg_p_D_NOR2X0P5H7L_Y,1.2,6.910e-07,0.000e+00,5.662e-10,6.916e-07
count_9__reg_p_D_NOR2X0P5H7L_Y,1.2,6.796e-07,0.000e+00,5.620e-10,6.802e-07
count_13__reg_p_D_NOR2X0P5H7L_Y,1.2,6.738e-07,0.000e+00,5.576e-10,6.744e-07
count_12__reg_p_D_NOR2X0P5H7L_Y,1.2,6.615e-07,0.000e+00,5.591e-10,6.621e-07
count_26__NOR4X0P5H7L_A_Y_NAND3X0P5H7L_A_Y_NOR3X3H7L_A_B_NAND4BX1P4H7L_Y_AN_OR2X0P5H7L_Y,1.2,6.061e-07,0.000e+00,1.488e-09,6.075e-07
count_5__reg_p_D_NOR2X0P5H7L_Y_B_XOR2X0P5H7L_Y_B_NAND2X0P5H7L_Y,1.2,5.891e-07,0.000e+00,4.100e-10,5.895e-07
count_26__NOR4X0P5H7L_A_Y_NAND3X0P5H7L_A,1.2,5.781e-07,0.000e+00,3.064e-10,5.784e-07
