Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_OA22X0P5H7R_Y,1.2,7.948e-06,0.000e+00,1.756e-10,7.948e-06
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_ANDNOT__B_A_$_SDFF_PN0__Q_D_$_MUX__S_Y_OA211X4H7R_Y_B0_AOI31X0P7H7R_Y,1.2,7.710e-06,0.000e+00,1.156e-10,7.710e-06
R[2]_6__reg_p_D_NOR3X1P4H7R_Y,1.2,7.624e-06,0.000e+00,9.284e-11,7.624e-06
R[0]_5__XNOR2X4H7R_A_Y_AO31X4H7R_A0_A1_AOI211X2H7R_Y_B0_OAI211X1P4H7R_Y_C0_AOI32X0P5H7R_Y,1.2,7.609e-06,0.000e+00,9.524e-11,7.609e-06
R[0]_6__reg_p_D_NOR4X2H7R_Y,1.2,7.527e-06,0.000e+00,8.509e-11,7.527e-06
R[1]_6__reg_p_D_NOR4X2H7R_Y,1.2,7.336e-06,0.000e+00,8.509e-11,7.336e-06
out_0__reg_p_D_OAOI211X0P5H7R_Y_A0_XNOR2X0P5H7R_A_Y_OAI211X1P4H7R_A1,1.2,7.252e-06,0.000e+00,9.355e-11,7.252e-06
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_XOR2X0P5H7R_A_Y_XNOR2X3H7R_A_B_OAOI211X1P4H7R_Y_A0_NOR4X2H7R_Y_A_NOR3X1P4H7R_A,1.2,7.062e-06,0.000e+00,1.092e-10,7.062e-06
R[0]_5__XNOR2X4H7R_A_Y_AO31X4H7R_A0_A1_AOI211X2H7R_Y_A0_AOAI211X1P4H7R_A1_B0_NOR2X0P5H7R_Y_B_XNOR2X0P5H7R_Y_B_XNOR2X0P5H7R_Y,1.2,6.943e-06,0.000e+00,3.505e-10,6.944e-06
R[1]_0__NAND2X0P5H7R_B_Y_AOI32X1H7R_A0,1.2,6.902e-06,0.000e+00,1.246e-10,6.902e-06
R[0]_3__reg_p_D_NAND2BX1P4H7R_Y,1.2,6.824e-06,0.000e+00,1.687e-10,6.825e-06
R[3]_6__$_MUX__B_Y_$_MUX__A_Y_$_XOR__B_Y_$_OR__B_Y_$_AND__A_Y_$_AND__B_Y_NOR3X1P4H7R_Y,1.2,6.743e-06,0.000e+00,9.019e-11,6.743e-06
R[0]_0__$_XNOR__A_Y_$_AND__B_Y_$_AND__B_Y_$_NAND__B_Y_$_AND__A_B_$_ANDNOT__B_A_$_SDFF_PN0__Q_R_$_SDFF_PN0__R_D_$_ANDNOT__A_Y_$_OR__B_Y_AOI2BB1X0P5H7R_Y_A1N_AOI211X0P5H7R_Y,1.2,6.496e-06,0.000e+00,8.956e-11,6.496e-06
R[2]_2__reg_p_D_NOR2X0P5H7R_Y_B_OAO211X0P5H7R_Y_A1_XNOR2X0P5H7R_Y_B_XNOR2X0P5H7R_Y,1.2,6.338e-06,0.000e+00,3.504e-10,6.338e-06
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_XOR2X0P5H7R_A_Y_XNOR2X3H7R_A_B_OAOI211X1P4H7R_Y_A0_NOR2BX1P4H7R_B_Z_XNOR2X1P4H7R_A_B_XOR2X0P5H7R_Y,1.2,6.056e-06,0.000e+00,3.495e-10,6.057e-06
pc_1__$_XOR__B_Y_$_MUX__A_Y_$_MUX__A_S_$_NAND__B_Y_$_AND__B_Y_NOR3X0P5H7R_Y,1.2,5.969e-06,0.000e+00,5.860e-11,5.969e-06
pc_2__reg_p_D_NOR2BX1P4H7R_AN_B_OAI31X0P5H7R_Y,1.2,5.850e-06,0.000e+00,9.438e-11,5.850e-06
R[0]_5__XNOR2X4H7R_A_Y_AO31X4H7R_A0_A1_AOI211X2H7R_Y_B0_OAI211X1P4H7R_Y_B0_AOI32X0P5H7R_Y,1.2,5.647e-06,0.000e+00,9.332e-11,5.647e-06
R[0]_1__reg_p_D_NAND2BX0P5H7R_Y,1.2,5.535e-06,0.000e+00,1.407e-10,5.535e-06
pc_3__reg_p_D_AOI21X0P5H7R_Y_A1_NAND3X0P5H7R_Y,1.2,5.503e-06,0.000e+00,5.115e-11,5.503e-06
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_XOR2X0P5H7R_A_Y_XNOR2X3H7R_A_B_OAOI211X1P4H7R_Y_A1_NAND2X0P5H7R_Y_A_OAI21X0P5H7R_B0,1.2,5.476e-06,0.000e+00,8.711e-11,5.476e-06
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_XOR2X0P5H7R_A_Y_XNOR2X3H7R_A_B_OAOI211X1P4H7R_Y_C0_AOI21X0P5H7R_Y,1.2,5.407e-06,0.000e+00,9.647e-11,5.407e-06
